amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(80, 20)",high,False,0.004,True,86,True,vs,mc_w,0.0081978229472994,756,104,True,97,7,293,359,0.023333333333333334,0.7872807017543859
"(80, 20)",high,False,0.004,True,86,False,baseline,mc_w,0.0046067787949796,2394,2,False,0,2,1936,456,0.0010319917440660474,1.0
"(80, 20)",high,False,0.004,True,86,False,vs,mc_w,0.0046067787949796,2394,92,False,84,8,1930,372,0.0041279669762641896,0.8157894736842105
"(80, 20)",high,False,0.004,True,64,True,baseline,mc_w,0.0107334697685272,441,2,False,0,2,173,266,0.011428571428571429,1.0
"(80, 20)",high,False,0.004,True,64,True,vs,mc_w,0.0107334697685272,441,72,True,68,4,171,198,0.022857142857142857,0.7443609022556391
"(80, 20)",high,False,0.004,True,64,False,baseline,mc_w,0.0054652152981996,1701,2,False,0,2,1433,266,0.0013937282229965157,1.0
"(80, 20)",high,False,0.004,True,64,False,vs,mc_w,0.0054652152981996,1701,63,False,57,6,1429,209,0.004181184668989547,0.7857142857142857
"(80, 20)",high,False,0.004,True,31,True,baseline,mc_w,0.0163956458945988,189,3,False,0,3,72,114,0.04,1.0
"(80, 20)",high,False,0.004,True,31,True,vs,mc_w,0.0163956458945988,189,37,True,35,2,73,79,0.02666666666666667,0.6929824561403509
"(80, 20)",high,False,0.004,True,31,False,baseline,mc_w,0.0081978229472994,756,2,False,0,2,640,114,0.003115264797507788,1.0
"(80, 20)",high,False,0.004,True,31,False,vs,mc_w,0.0081978229472994,756,39,True,33,6,636,81,0.009345794392523364,0.7105263157894737
"(80, 20)",high,False,0.004,False,86,True,baseline,mc_w,0.0057735026918962,1512,4,False,0,4,1052,456,0.003787878787878788,1.0
"(80, 20)",high,False,0.004,False,86,True,vs,mc_w,0.0057735026918962,1512,95,True,87,8,1048,369,0.007575757575757576,0.8092105263157895
"(80, 20)",high,False,0.004,False,86,False,baseline,mc_w,0.0032444284226152,4788,2,False,0,2,4330,456,0.0004616805170821791,1.0
"(80, 20)",high,False,0.004,False,86,False,vs,mc_w,0.0032444284226152,4788,83,False,73,10,4322,383,0.0023084025854108957,0.8399122807017544
"(80, 20)",high,False,0.004,False,64,True,baseline,mc_w,0.0075592894601845,882,5,False,0,5,611,266,0.008116883116883116,1.0
"(80, 20)",high,False,0.004,False,64,True,vs,mc_w,0.0075592894601845,882,70,True,62,8,608,204,0.012987012987012988,0.7669172932330827
"(80, 20)",high,False,0.004,False,64,False,baseline,mc_w,0.0038490017945975,3402,4,False,0,4,3132,266,0.0012755102040816326,1.0
"(80, 20)",high,False,0.004,False,64,False,vs,mc_w,0.0038490017945975,3402,62,False,52,10,3126,214,0.0031887755102040817,0.8045112781954887
"(80, 20)",high,False,0.004,False,31,True,baseline,mc_w,0.0115470053837925,378,2,False,0,2,262,114,0.007575757575757576,1.0
"(80, 20)",high,False,0.004,False,31,True,vs,mc_w,0.0115470053837925,378,39,True,35,4,260,79,0.015151515151515152,0.6929824561403509
"(80, 20)",high,False,0.004,False,31,False,baseline,mc_w,0.0057735026918962,1512,2,False,0,2,1396,114,0.001430615164520744,1.0
