amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(80, 40)",low,False,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,3,False,2,1,1451,142,0.6666666666666666,0.013888888888888888,0.0272108843537415,0.0006887052341597796,0.9861111111111112
"(80, 40)",low,False,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,5,False,5,0,210,79,1.0,0.05952380952380952,0.11235955056179775,0.0,0.9404761904761905
"(80, 40)",low,False,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,3,False,2,1,1049,82,0.6666666666666666,0.023809523809523808,0.04597701149425287,0.0009523809523809524,0.9761904761904762
"(80, 40)",low,False,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,4,False,4,0,90,32,1.0,0.1111111111111111,0.19999999999999998,0.0,0.8888888888888888
"(80, 40)",low,False,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,3,False,2,1,467,34,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.002136752136752137,0.9444444444444444
"(80, 40)",low,False,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,5,False,5,0,216,91,1.0,0.052083333333333336,0.09900990099009901,0.0,0.9479166666666666
"(80, 40)",low,False,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,4,False,3,1,891,93,0.75,0.03125,0.06,0.0011210762331838565,0.96875
"(80, 40)",low,False,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,3,False,3,0,126,53,1.0,0.05357142857142857,0.10169491525423728,0.0,0.9464285714285714
"(80, 40)",low,False,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,3,False,2,1,645,54,0.6666666666666666,0.03571428571428571,0.06779661016949153,0.0015479876160990713,0.9642857142857143
"(80, 40)",low,False,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,3,False,2,1,53,22,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.018518518518518517,0.9166666666666666
"(80, 40)",low,False,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,2,False,1,1,287,23,0.5,0.041666666666666664,0.07692307692307693,0.003472222222222222,0.9583333333333334
"(80, 30)",high,True,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,92,True,81,11,1045,375,0.8804347826086957,0.17763157894736842,0.29562043795620435,0.010416666666666666,0.8223684210526315
"(80, 30)",high,True,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,85,False,65,20,4312,391,0.7647058823529411,0.1425438596491228,0.24029574861367836,0.0046168051708217915,0.8574561403508771
"(80, 30)",high,True,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,70,True,60,10,606,206,0.8571428571428571,0.22556390977443608,0.35714285714285715,0.016233766233766232,0.7744360902255639
"(80, 30)",high,True,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,69,False,49,20,3116,217,0.7101449275362319,0.18421052631578946,0.2925373134328358,0.006377551020408163,0.8157894736842105
"(80, 30)",high,True,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,31,True,25,6,258,89,0.8064516129032258,0.21929824561403508,0.3448275862068965,0.022727272727272728,0.7807017543859649
"(80, 30)",high,True,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,41,False,23,18,1380,91,0.5609756097560976,0.20175438596491227,0.2967741935483871,0.012875536480686695,0.7982456140350878
"(80, 30)",high,True,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,29,True,27,2,358,117,0.9310344827586207,0.1875,0.3121387283236995,0.005555555555555556,0.8125
"(80, 30)",high,True,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,28,False,25,3,1449,119,0.8928571428571429,0.1736111111111111,0.29069767441860467,0.002066115702479339,0.8263888888888888
"(80, 30)",high,True,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,24,True,22,2,208,62,0.9166666666666666,0.2619047619047619,0.4074074074074074,0.009523809523809525,0.7380952380952381
"(80, 30)",high,True,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,21,False,18,3,1047,66,0.8571428571428571,0.21428571428571427,0.34285714285714286,0.002857142857142857,0.7857142857142857
"(80, 30)",high,True,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,9,True,9,0,90,27,1.0,0.25,0.4,0.0,0.75
"(80, 30)",high,True,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,13,False,8,5,463,28,0.6153846153846154,0.2222222222222222,0.326530612244898,0.010683760683760684,0.7777777777777778
"(80, 30)",high,True,0.02,86,True,lateralization,mc_w,0.012909944487358,312,23,True,21,2,214,75,0.9130434782608695,0.21875,0.3529411764705882,0.009259259259259259,0.78125
"(80, 30)",high,True,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,22,False,20,2,890,76,0.9090909090909091,0.20833333333333334,0.3389830508474576,0.002242152466367713,0.7916666666666666
"(80, 30)",high,True,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,20,True,18,2,124,38,0.9,0.32142857142857145,0.4736842105263158,0.015873015873015872,0.6785714285714286
"(80, 30)",high,True,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,16,False,14,2,644,42,0.875,0.25,0.3888888888888889,0.0030959752321981426,0.75
"(80, 30)",high,True,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,9,True,8,1,53,16,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.018518518518518517,0.6666666666666666
"(80, 30)",high,True,0.02,31,False,lateralization,mc_w,0.012909944487358,312,7,False,5,2,286,19,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.006944444444444444,0.7916666666666666
"(80, 30)",high,True,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,12,False,12,0,1056,444,1.0,0.02631578947368421,0.05128205128205127,0.0,0.9736842105263158
"(80, 30)",high,True,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,7,False,7,0,4332,449,1.0,0.015350877192982455,0.030237580993520516,0.0,0.9846491228070176
"(80, 30)",high,True,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,4,False,4,0,616,262,1.0,0.015037593984962405,0.029629629629629624,0.0,0.9849624060150376
"(80, 30)",high,True,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,0,False,0,0,3136,266,1.0,0.0,0.0,0.0,1.0
"(80, 30)",high,True,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,3,False,3,0,264,111,1.0,0.02631578947368421,0.05128205128205127,0.0,0.9736842105263158
"(80, 30)",high,True,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,0,False,0,0,1398,114,1.0,0.0,0.0,0.0,1.0
"(80, 30)",high,True,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,7,False,7,0,360,137,1.0,0.04861111111111111,0.09271523178807947,0.0,0.9513888888888888
"(80, 30)",high,True,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,4,False,4,0,1452,140,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(80, 30)",high,True,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,3,False,3,0,210,81,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(80, 30)",high,True,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,1,False,1,0,1050,83,1.0,0.011904761904761904,0.023529411764705882,0.0,0.9880952380952381
"(80, 30)",high,True,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,3,False,3,0,90,33,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(80, 30)",high,True,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,1,False,1,0,468,35,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(80, 30)",high,True,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,3,False,3,0,216,93,1.0,0.03125,0.06060606060606061,0.0,0.96875
"(80, 30)",high,True,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,2,False,2,0,892,94,1.0,0.020833333333333332,0.04081632653061225,0.0,0.9791666666666666
"(80, 30)",high,True,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,3,False,3,0,126,53,1.0,0.05357142857142857,0.10169491525423728,0.0,0.9464285714285714
"(80, 30)",high,True,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,1,False,1,0,646,55,1.0,0.017857142857142856,0.03508771929824561,0.0,0.9821428571428571
"(80, 30)",high,True,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,2,False,2,0,54,22,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(80, 30)",high,True,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,0,False,0,0,288,24,1.0,0.0,0.0,0.0,1.0
"(80, 30)",high,False,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,77,True,75,2,1054,381,0.974025974025974,0.16447368421052633,0.28142589118198874,0.001893939393939394,0.8355263157894737
"(80, 30)",high,False,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,84,False,68,16,4316,388,0.8095238095238095,0.14912280701754385,0.2518518518518518,0.003693444136657433,0.8508771929824561
"(80, 30)",high,False,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,59,True,55,4,612,211,0.9322033898305084,0.20676691729323307,0.3384615384615384,0.006493506493506494,0.793233082706767
"(80, 30)",high,False,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,62,False,48,14,3122,218,0.7741935483870968,0.18045112781954886,0.2926829268292683,0.004464285714285714,0.8195488721804511
"(80, 30)",high,False,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,26,True,26,0,264,88,1.0,0.22807017543859648,0.3714285714285714,0.0,0.7719298245614035
"(80, 30)",high,False,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,31,False,23,8,1390,91,0.7419354838709677,0.20175438596491227,0.31724137931034485,0.005722460658082976,0.7982456140350878
"(80, 30)",high,False,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,28,True,28,0,360,116,1.0,0.19444444444444445,0.32558139534883723,0.0,0.8055555555555556
