amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,False,31,True,difference,mc_w,0.0070429521227376,1008,6,False,4,2,702,300,0.002840909090909091,0.9868421052631579
"(40, 20)",high,True,0.004,False,31,False,baseline,mc_w,0.0035778232561757,3906,15,False,0,15,3891,0,0.0038402457757296467,0.0
"(40, 20)",high,True,0.004,False,31,False,vs_right,mc_w,0.0035778232561757,3906,188,False,110,78,3524,194,0.021654636313159357,0.6381578947368421
"(40, 20)",high,True,0.004,False,31,False,vs_left,mc_w,0.0035778232561757,3906,171,False,107,64,3538,197,0.01776790671848973,0.6480263157894737
"(40, 20)",high,True,0.004,False,31,False,difference,mc_w,0.0035778232561757,3906,9,False,0,9,3593,304,0.002498611882287618,1.0
"(40, 20)",high,True,0.012,True,86,True,baseline,mc_w,0.0092213889195414,588,4,False,0,4,584,0,0.006802721088435374,0.0
"(40, 20)",high,True,0.012,True,86,True,vs_right,mc_w,0.0092213889195414,588,127,True,125,2,250,211,0.007936507936507936,0.6279761904761905
"(40, 20)",high,True,0.012,True,86,True,vs_left,mc_w,0.0092213889195414,588,136,True,133,3,249,203,0.011904761904761904,0.6041666666666666
"(40, 20)",high,True,0.012,True,86,True,difference,mc_w,0.0092213889195414,588,4,False,4,0,252,332,0.0,0.9880952380952381
"(40, 20)",high,True,0.012,True,86,False,baseline,mc_w,0.0052617005617739,1806,2,False,0,2,1804,0,0.0011074197120708748,0.0
"(40, 20)",high,True,0.012,True,86,False,vs_right,mc_w,0.0052617005617739,1806,159,True,114,45,1425,222,0.030612244897959183,0.6607142857142857
"(40, 20)",high,True,0.012,True,86,False,vs_left,mc_w,0.0052617005617739,1806,157,True,120,37,1433,216,0.025170068027210883,0.6428571428571429
"(40, 20)",high,True,0.012,True,86,False,difference,mc_w,0.0052617005617739,1806,2,False,0,2,1468,336,0.0013605442176870747,1.0
"(40, 20)",high,True,0.012,True,64,True,baseline,mc_w,0.0115010926557059,378,5,False,0,5,373,0,0.013227513227513227,0.0
"(40, 20)",high,True,0.012,True,64,True,vs_right,mc_w,0.0115010926557059,378,100,True,98,2,160,118,0.012345679012345678,0.5462962962962963
"(40, 20)",high,True,0.012,True,64,True,vs_left,mc_w,0.0115010926557059,378,104,True,103,1,161,113,0.006172839506172839,0.5231481481481481
"(40, 20)",high,True,0.012,True,64,True,difference,mc_w,0.0115010926557059,378,2,False,2,0,162,214,0.0,0.9907407407407407
"(40, 20)",high,True,0.012,True,64,False,baseline,mc_w,0.0060993754559283,1344,2,False,0,2,1342,0,0.001488095238095238,0.0
"(40, 20)",high,True,0.012,True,64,False,vs_right,mc_w,0.0060993754559283,1344,128,True,87,41,1087,129,0.03634751773049645,0.5972222222222222
"(40, 20)",high,True,0.012,True,64,False,vs_left,mc_w,0.0060993754559283,1344,118,True,89,29,1099,127,0.025709219858156027,0.5879629629629629
"(40, 20)",high,True,0.012,True,64,False,difference,mc_w,0.0060993754559283,1344,2,False,0,2,1126,216,0.0017730496453900709,1.0
"(40, 20)",high,True,0.012,True,31,True,baseline,mc_w,0.0172516389835588,168,6,False,0,6,162,0,0.03571428571428571,0.0
"(40, 20)",high,True,0.012,True,31,True,vs_right,mc_w,0.0172516389835588,168,52,True,48,4,68,48,0.05555555555555555,0.5
"(40, 20)",high,True,0.012,True,31,True,vs_left,mc_w,0.0172516389835588,168,50,True,49,1,71,47,0.013888888888888888,0.4895833333333333
"(40, 20)",high,True,0.012,True,31,True,difference,mc_w,0.0172516389835588,168,2,False,2,0,72,94,0.0,0.9791666666666666
"(40, 20)",high,True,0.012,True,31,False,baseline,mc_w,0.0087638413674936,651,5,False,0,5,646,0,0.007680491551459293,0.0
"(40, 20)",high,True,0.012,True,31,False,vs_right,mc_w,0.0087638413674936,651,67,True,40,27,528,56,0.04864864864864865,0.5833333333333334
"(40, 20)",high,True,0.012,True,31,False,vs_left,mc_w,0.0087638413674936,651,66,True,43,23,532,53,0.04144144144144144,0.5520833333333334
"(40, 20)",high,True,0.012,True,31,False,difference,mc_w,0.0087638413674936,651,2,False,0,2,553,96,0.0036036036036036037,1.0
"(40, 20)",high,True,0.012,False,86,True,baseline,mc_w,0.0065205066369662,1176,2,False,0,2,1174,0,0.0017006802721088435,0.0
"(40, 20)",high,True,0.012,False,86,True,vs_right,mc_w,0.0065205066369662,1176,118,True,118,0,840,218,0.0,0.6488095238095238
"(40, 20)",high,True,0.012,False,86,True,vs_left,mc_w,0.0065205066369662,1176,130,True,126,4,836,210,0.004761904761904762,0.625
"(40, 20)",high,True,0.012,False,86,True,difference,mc_w,0.0065205066369662,1176,0,False,0,0,840,336,0.0,1.0
"(40, 20)",high,True,0.012,False,86,False,baseline,mc_w,0.0037205841478033,3612,2,False,0,2,3610,0,0.0005537098560354374,0.0
"(40, 20)",high,True,0.012,False,86,False,vs_right,mc_w,0.0037205841478033,3612,148,False,103,45,3231,233,0.013736263736263736,0.6934523809523809
"(40, 20)",high,True,0.012,False,86,False,vs_left,mc_w,0.0037205841478033,3612,143,False,112,31,3245,224,0.009462759462759462,0.6666666666666666
"(40, 20)",high,True,0.012,False,86,False,difference,mc_w,0.0037205841478033,3612,2,False,0,2,3274,336,0.0006105006105006105,1.0
"(40, 20)",high,True,0.012,False,64,True,baseline,mc_w,0.0081325006079044,756,2,False,0,2,754,0,0.0026455026455026454,0.0
"(40, 20)",high,True,0.012,False,64,True,vs_right,mc_w,0.0081325006079044,756,94,True,94,0,540,122,0.0,0.5648148148148148
"(40, 20)",high,True,0.012,False,64,True,vs_left,mc_w,0.0081325006079044,756,101,True,99,2,538,117,0.003703703703703704,0.5416666666666666
"(40, 20)",high,True,0.012,False,64,True,difference,mc_w,0.0081325006079044,756,2,False,2,0,540,214,0.0,0.9907407407407407
"(40, 20)",high,True,0.012,False,64,False,baseline,mc_w,0.0043129097458897,2688,2,False,0,2,2686,0,0.000744047619047619,0.0
"(40, 20)",high,True,0.012,False,64,False,vs_right,mc_w,0.0043129097458897,2688,119,False,79,40,2432,137,0.016181229773462782,0.6342592592592593
"(40, 20)",high,True,0.012,False,64,False,vs_left,mc_w,0.0043129097458897,2688,110,False,83,27,2445,133,0.010922330097087379,0.6157407407407407
