amplitude,noise_filter,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1
4020,0.1,True,0.012,31,False,vs_left,w,0.0062720892108172,1302,54,False,34,20,1186,62,0.6296296296296297,0.3541666666666667,0.45333333333333337
4020,0.1,True,0.012,31,False,difference,w,0.0062720892108172,1302,2,False,0,2,1204,96,0.0,0.0,
4020,0.1,True,0.02,86,True,baseline,w,0.0084515425472851,728,0,False,0,0,504,224,1.0,0.0,0.0
4020,0.1,True,0.02,86,True,vs_right,w,0.0084515425472851,728,69,True,66,3,501,158,0.9565217391304348,0.29464285714285715,0.4505119453924914
4020,0.1,True,0.02,86,True,vs_left,w,0.0084515425472851,728,56,True,56,0,504,168,1.0,0.25,0.4
4020,0.1,True,0.02,86,True,difference,w,0.0084515425472851,728,0,False,0,0,504,224,1.0,0.0,0.0
4020,0.1,True,0.02,86,False,baseline,w,0.0048224282217041,2236,0,False,0,0,2012,224,1.0,0.0,0.0
4020,0.1,True,0.02,86,False,vs_right,w,0.0048224282217041,2236,77,False,56,21,1991,168,0.7272727272727273,0.25,0.37209302325581395
4020,0.1,True,0.02,86,False,vs_left,w,0.0048224282217041,2236,43,False,39,4,2008,185,0.9069767441860465,0.17410714285714285,0.29213483146067415
4020,0.1,True,0.02,86,False,difference,w,0.0048224282217041,2236,0,False,0,0,2012,224,1.0,0.0,0.0
4020,0.1,True,0.02,64,True,baseline,w,0.0105409255338945,468,2,False,1,1,323,143,0.5,0.006944444444444444,0.0136986301369863
4020,0.1,True,0.02,64,True,vs_right,w,0.0105409255338945,468,51,True,49,2,322,95,0.9607843137254902,0.3402777777777778,0.5025641025641027
4020,0.1,True,0.02,64,True,vs_left,w,0.0105409255338945,468,50,True,49,1,323,95,0.98,0.3402777777777778,0.5051546391752578
4020,0.1,True,0.02,64,True,difference,w,0.0105409255338945,468,0,False,0,0,324,144,1.0,0.0,0.0
4020,0.1,True,0.02,64,False,baseline,w,0.0055901699437494,1664,0,False,0,0,1520,144,1.0,0.0,0.0
4020,0.1,True,0.02,64,False,vs_right,w,0.0055901699437494,1664,58,False,42,16,1504,102,0.7241379310344828,0.2916666666666667,0.4158415841584159
4020,0.1,True,0.02,64,False,vs_left,w,0.0055901699437494,1664,39,False,33,6,1514,111,0.8461538461538461,0.22916666666666666,0.360655737704918
4020,0.1,True,0.02,64,False,difference,w,0.0055901699437494,1664,0,False,0,0,1520,144,1.0,0.0,0.0
4020,0.1,True,0.02,31,True,baseline,w,0.0158113883008418,208,2,False,1,1,143,63,0.5,0.015625,0.030303030303030304
4020,0.1,True,0.02,31,True,vs_right,w,0.0158113883008418,208,22,True,22,0,144,42,1.0,0.34375,0.5116279069767442
4020,0.1,True,0.02,31,True,vs_left,w,0.0158113883008418,208,22,True,22,0,144,42,1.0,0.34375,0.5116279069767442
4020,0.1,True,0.02,31,True,difference,w,0.0158113883008418,208,0,False,0,0,144,64,1.0,0.0,0.0
4020,0.1,True,0.02,31,False,baseline,w,0.0080321932890249,806,0,False,0,0,742,64,1.0,0.0,0.0
4020,0.1,True,0.02,31,False,vs_right,w,0.0080321932890249,806,30,False,20,10,732,44,0.6666666666666666,0.3125,0.425531914893617
4020,0.1,True,0.02,31,False,vs_left,w,0.0080321932890249,806,20,False,15,5,737,49,0.75,0.234375,0.35714285714285715
4020,0.1,True,0.02,31,False,difference,w,0.0080321932890249,806,0,False,0,0,742,64,1.0,0.0,0.0
4020,0.1,False,0.004,86,True,baseline,w,0.0037796447300922,3528,6,False,0,6,2458,1064,0.0,0.0,
4020,0.1,False,0.004,86,True,vs_right,w,0.0037796447300922,3528,310,True,299,11,2453,765,0.964516129032258,0.28101503759398494,0.43522561863173215
4020,0.1,False,0.004,86,True,vs_left,w,0.0037796447300922,3528,354,True,342,12,2452,722,0.9661016949152542,0.32142857142857145,0.4823695345557123
4020,0.1,False,0.004,86,True,difference,w,0.0037796447300922,3528,11,False,5,6,2458,1059,0.45454545454545453,0.004699248120300752,0.009302325581395347
4020,0.1,False,0.004,86,False,baseline,w,0.0021566554640687,10836,18,False,0,18,9754,1064,0.0,0.0,
4020,0.1,False,0.004,86,False,vs_right,w,0.0021566554640687,10836,323,False,252,71,9701,812,0.7801857585139319,0.23684210526315788,0.36337418889689976
4020,0.1,False,0.004,86,False,vs_left,w,0.0021566554640687,10836,406,False,295,111,9661,769,0.7266009852216748,0.27725563909774437,0.4013605442176871
4020,0.1,False,0.004,86,False,difference,w,0.0021566554640687,10836,14,False,5,9,9763,1059,0.35714285714285715,0.004699248120300752,0.009276437847866418
4020,0.1,False,0.004,64,True,baseline,w,0.0047140452079103,2268,12,False,0,12,1572,684,0.0,0.0,
4020,0.1,False,0.004,64,True,vs_right,w,0.0047140452079103,2268,232,True,228,4,1580,456,0.9827586206896551,0.3333333333333333,0.4978165938864629
4020,0.1,False,0.004,64,True,vs_left,w,0.0047140452079103,2268,260,True,250,10,1574,434,0.9615384615384616,0.3654970760233918,0.5296610169491526
4020,0.1,False,0.004,64,True,difference,w,0.0047140452079103,2268,8,False,5,3,1581,679,0.625,0.007309941520467836,0.014450867052023121
4020,0.1,False,0.004,64,False,baseline,w,0.0025,8064,12,False,0,12,7368,684,0.0,0.0,
4020,0.1,False,0.004,64,False,vs_right,w,0.0025,8064,245,False,192,53,7327,492,0.7836734693877551,0.2807017543859649,0.41334768568353064
4020,0.1,False,0.004,64,False,vs_left,w,0.0025,8064,314,False,216,98,7282,468,0.6878980891719745,0.3157894736842105,0.4328657314629258
4020,0.1,False,0.004,64,False,difference,w,0.0025,8064,16,False,5,11,7369,679,0.3125,0.007309941520467836,0.014285714285714285
